timestamp,condition_id,end_time,up_token,down_token,up_bid,up_bid_size,up_ask,up_ask_size,down_bid,down_bid_size,down_ask,down_ask_size,btc_price
2026-01-01T12:00:00Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.72504302651
2026-01-01T12:00:01Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.49142962636
2026-01-01T12:00:02Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.11718389821
2026-01-01T12:00:03Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.8860755981
2026-01-01T12:00:04Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.6521649042
2026-01-01T12:00:05Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.94491760541
2026-01-01T12:00:06Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.41617624007
2026-01-01T12:00:07Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.85205938922
2026-01-01T12:00:08Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.57542491168
2026-01-01T12:00:09Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60415.81790110333
2026-01-01T12:00:10Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.145922998694
2026-01-01T12:00:11Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.078330241246
2026-01-01T12:00:12Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.50306197701
2026-01-01T12:00:13Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.93487413797
2026-01-01T12:00:14Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.81821656708
2026-01-01T12:00:15Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60418.75977780436
2026-01-01T12:00:16Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.99844139788
2026-01-01T12:00:17Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.67877527116
2026-01-01T12:00:18Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.25195350732
2026-01-01T12:00:19Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.70619796757
2026-01-01T12:00:20Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.01132226535
2026-01-01T12:00:21Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.09527807278
2026-01-01T12:00:22Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.948854935996
2026-01-01T12:00:23Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.208778609645
2026-01-01T12:00:24Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.11029560909
2026-01-01T12:00:25Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60415.532490841906
2026-01-01T12:00:26Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60415.26718140241
2026-01-01T12:00:27Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60415.71060575988
2026-01-01T12:00:28Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.495839484734
2026-01-01T12:00:29Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.4904834133
2026-01-01T12:00:30Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60416.6310568976
2026-01-01T12:00:31Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60417.578016820386
2026-01-01T12:00:32Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60418.45149695288
2026-01-01T12:00:33Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60419.16326576631
2026-01-01T12:00:34Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60418.46642669859
2026-01-01T12:00:35Z,0xCOND0000,2026-01-01T12:05:00Z,UP0000,DN0000,0.49,500,0.51,500,0.49,500,0.51,500,60418.7209149536
